resource_id,fte_assigned,billable_hours,bench_time,overallocated
1,196.56,44,49.54,0
2,364.66,30,323.86,1
3,167.87,27,434.27,1
4,482.96,13,136.75,1
5,372.77,14,48.06,0
6,234.52,24,84.66,0
7,111.7,10,356.09,0
8,11.43,22,272.21,0
9,394.29,12,47.82,0
10,124.25,46,384.13,0
11,17.58,14,350.4,0
12,178.79,23,251.94,0
13,93.43,17,253.41,0
14,34.03,56,411.53,0
15,125.16,35,52.92,0
16,163.15,33,404.16,1
17,361.41,43,219.47,1
18,92.43,10,167.52,0
19,20.04,35,275.55,0
20,51.16,37,393.77,0
21,79.98,44,149.24,0
22,168.12,16,205.42,0
23,231.84,31,428.22,1
24,123.14,1,191.07,0
25,116.66,16,120.9,0
26,406.1,55,45.71,0
27,95.65,21,446.91,1
28,323.12,40,392.02,1
29,298.57,12,357.96,1
30,344.14,40,205.37,1
31,163.28,41,444.72,1
32,40.09,24,100.73,0
33,234.56,9,25.08,0
34,261.71,27,492.59,1
35,50.14,6,32.49,0
36,486.85,18,171.8,1
37,154.64,15,197.47,0
38,137.67,30,352.69,0
39,455.61,35,290.65,1
40,215.27,1,142.3,0
41,74.7,11,17.32,0
42,353.96,11,264.41,1
43,65.56,7,467.83,0
44,294.63,57,125.02,0
45,151.73,36,19.15,0
46,352.24,23,286.9,1
47,227.33,16,61.31,0
48,452.57,37,115.58,1
49,397.06,50,367.21,1
50,332.94,32,259.42,1
51,141.92,50,233.86,0
52,34.09,35,76.14,0
53,115.19,29,95.14,0
54,314.31,23,481.89,1
55,471.04,35,368.36,1
56,195.4,36,333.35,1
57,159.3,2,471.52,1
58,40.58,12,284.66,0
59,397.92,37,100.21,0
60,85.85,22,146.08,0
61,187.97,51,281.21,0
62,216.41,52,140.84,0
63,298.36,6,235.67,0
64,51.25,12,167.89,0
65,411.3,20,416.64,1
66,134.83,54,430.0,1
67,245.24,1,242.28,0
68,266.66,3,255.68,0
69,385.56,35,342.34,1
70,179.0,24,235.23,0
71,167.38,32,235.82,0
72,479.63,31,178.83,1
73,444.51,46,114.71,1
74,489.76,56,180.45,1
75,355.67,20,371.58,1
76,403.92,27,381.72,1
77,46.78,46,230.2,0
78,44.72,4,28.35,0
79,266.72,8,169.66,0
80,270.22,30,167.98,0
81,487.14,56,435.77,1
82,38.53,41,172.46,0
83,282.39,54,195.92,0
84,202.17,13,332.15,0
85,470.69,47,200.43,1
86,309.64,48,380.92,1
87,150.35,8,115.97,0
88,492.95,59,373.99,1
89,295.7,10,411.08,1
90,377.03,44,188.55,1
91,342.07,54,26.74,0
92,407.42,47,186.67,1
93,440.9,58,441.91,1
94,452.88,30,461.12,1
95,227.31,29,369.44,1
96,472.58,22,35.31,0
97,333.55,58,180.19,1
98,468.08,40,464.59,1
99,188.8,39,469.53,1
100,422.22,44,239.8,1
101,161.09,51,301.64,0
102,145.42,31,249.71,0
103,375.02,3,332.35,1
104,456.18,55,433.43,1
105,277.29,53,228.36,1
106,417.51,34,300.11,1
107,15.06,35,198.26,0
108,450.96,41,485.25,1
109,219.62,38,146.11,0
110,409.26,44,200.38,1
111,291.99,51,178.81,0
112,499.37,18,272.7,1
113,266.06,17,233.56,0
114,78.35,47,393.52,0
115,131.48,28,336.73,0
116,157.1,13,221.24,0
117,367.97,31,49.61,0
118,110.7,40,198.62,0
119,96.7,45,400.53,0
120,263.74,4,27.54,0
121,219.78,48,84.6,0
122,241.46,58,217.73,0
123,449.92,42,372.21,1
124,273.3,7,486.23,1
125,189.53,56,41.45,0
126,102.78,29,265.22,0
127,293.64,30,423.14,1
128,304.31,40,456.89,1
129,148.34,23,483.56,1
130,321.23,38,418.21,1
131,405.24,27,465.66,1
132,488.31,46,32.84,1
133,340.86,53,56.7,0
134,301.34,19,327.84,1
135,164.58,40,330.16,0
136,372.46,27,152.09,0
137,219.23,40,457.59,1
138,395.16,57,314.2,1
139,498.93,9,17.67,0
140,66.52,41,110.0,0
141,453.1,29,259.64,1
142,205.29,2,68.46,0
143,132.65,28,484.84,1
144,148.68,8,361.48,0
145,33.96,2,86.55,0
146,11.63,55,170.24,0
147,69.21,17,47.04,0
148,290.96,44,147.85,0
149,369.13,42,414.24,1
150,362.93,4,316.44,1
151,460.27,16,14.15,0
152,49.02,27,207.43,0
