TeamSize,Budget,DurationDays,RiskLevel,Complexity,Industry,ClientSatisfaction,Outcome
9,455752.4,476,Low,8,Finance,7.5,0
22,827114.03,610,High,7,Finance,4.3,0
17,867694.05,276,Low,9,Manufacturing,5.5,0
13,56604.52,105,High,7,Technology,7.8,1
10,535209.94,183,Medium,3,Healthcare,8.2,1
23,446540.45,685,High,3,Retail,7.8,0
9,261002.42,464,Low,8,Healthcare,6.9,0
28,163872.1,115,Medium,5,Manufacturing,6.2,1
21,370734.41,726,High,4,Finance,8.9,1
25,945764.22,314,Medium,8,Finance,7.5,0
13,357042.79,249,Medium,6,Retail,7.5,0
13,542851.09,98,Medium,2,Finance,8.5,0
26,717868.01,76,Low,4,Finance,9.6,1
23,395448.12,123,Medium,4,Retail,7.5,0
6,973192.98,482,Medium,6,Retail,8.1,1
10,964324.93,233,High,6,Manufacturing,5.7,1
26,289193.18,247,Low,1,Finance,9.1,1
5,522386.08,503,Low,8,Finance,6.9,0
24,335834.39,461,High,6,Manufacturing,7.1,0
23,320598.47,370,High,3,Technology,6.4,1
4,85042.6,580,Low,9,Technology,6.4,1
26,629086.12,641,Medium,2,Technology,8.5,0
14,527545.07,318,Low,8,Manufacturing,6.5,0
8,98904.81,283,Low,3,Finance,9.4,1
4,314714.14,386,Low,5,Manufacturing,8.3,1
23,912852.59,52,Low,6,Manufacturing,6.7,0
3,277583.8,551,Medium,6,Technology,9.6,1
14,187650.13,129,Low,4,Healthcare,7.5,1
28,514980.12,209,High,3,Finance,7.0,0
24,986367.93,252,High,4,Technology,6.1,0
14,279952.51,688,Medium,1,Healthcare,7.8,1
27,688528.77,471,Medium,4,Healthcare,7.8,1
19,773538.63,637,Low,1,Retail,8.8,1
29,275755.67,354,High,1,Finance,7.7,1
29,741805.53,545,Medium,6,Healthcare,10.0,1
12,399393.98,45,Low,5,Technology,6.9,1
18,650690.54,365,High,4,Retail,8.0,1
17,651853.23,287,High,3,Finance,6.2,0
17,558985.95,526,High,1,Manufacturing,9.1,0
21,135775.28,189,Medium,6,Technology,8.5,1
